"id","questionnaire_id","category_id","text","image_url","position","weight","scoring_direction","is_lie_question","is_active"
"56bdebbd-faf6-478e-944f-0824be3f237d","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","Члены вашей семьи часто поддерживают друг друга в трудных ситуациях.","https://drive.google.com/file/d/157xZYrMIZ6ABZzzvsXrEEWXzXjQnvxLV/view?usp=sharing","1","1.0000","","False","True"
"2192e098-e3a3-41b1-93d0-ef0e748079aa","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","Вы доверяете своим родителям.","https://drive.google.com/file/d/1PuoLEiMN3T-xOPD18givivQRaWo5tLzb/view?usp=sharing","2","1.0000","","False","True"
"c5aecd15-bfa1-442d-aa68-8c05ff3dcbf4","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","Ваша семья сплоченная и всегда готова помочь друг другу.","https://drive.google.com/file/d/1oVTCu4iuEP9y-W7HyGX700fR_Bh5EAN2/view?usp=sharing","3","1.0000","","False","True"
"3519ae4b-b334-483c-8e2e-3bc7956c0fbb","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","В вашей семье принято проводить время за совместной деятельностью.","https://drive.google.com/file/d/1p0IA8pw7q3oayr1ogdtGfS2nlJ7BUKBW/view?usp=sharing","4","1.0000","","False","True"
"903df7ce-a001-4b3b-ab5f-d00c9978cd6f","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","Находясь в кругу семьи, вы чувствуете себя спокойно.","https://drive.google.com/file/d/1R6GSGxZ9Ayo4aV3j1NTLlyxvGEyqvBhI/view?usp=sharing","5","1.0000","","False","True"
"96e86b2f-0577-446e-9c41-5e8abd63e9cc","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","Ваша семья никогда не отказывает в помощи.","https://drive.google.com/file/d/12lShjTLuTrquqcbaRmjWG2WS7h94Vhys/view?usp=sharing","6","0.0000","none","True","True"
"129385de-0712-421f-a986-13094cad7e79","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","В вашей семье все идеально и нет проблем.","https://drive.google.com/file/d/1tMW9uoGlCz-OC30ACYMjWnppIPwpqKNJ/view?usp=sharing","7","0.0000","none","True","True"
"b8cc633c-baa2-4163-9860-2d19ffe9abe2","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","В семье принято обсуждать важные решения вместе.","https://drive.google.com/file/d/1j_HBaYniEN9o8UwQBZvm-OGUG3vwAOQE/view?usp=sharing","8","1.0000","","False","True"
"c6211c92-3336-4d79-85db-590cf159df57","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","Родители уважают ваше личное пространство и границы.","https://drive.google.com/file/d/1Z1Ct1AARr32jUIbNN0v1GRWvE8h5vNft/view?usp=sharing","9","1.0000","","False","True"
"190e7cea-4e96-46d8-9ebe-4ba9e02f0394","9a08a98a-297b-4867-8e33-040369252927","4f1f7d8e-e393-4a82-b1df-aaee62f38d72","В семье существует традиция совместных праздников и традиций.","https://drive.google.com/file/d/1MGfW-mCmuLk5SejQxLsZ5CGIf0kNJGzf/view?usp=sharing","10","1.0000","","False","True"
