id,category_id,min_score,max_score,level_code,title,description,requires_attention
066e45b4-bb37-4d0d-982d-c915ed571042,4f1f7d8e-e393-4a82-b1df-aaee62f38d72,8.0000,16.0000,low,Кризисное состояние семейных отношений,"Недостаточная эмоциональная поддержка
Проблемы в коммуникации
Риск социальной изоляции",False
4bd24400-f6d6-496c-914c-1c6f5f3d22f9,4f1f7d8e-e393-4a82-b1df-aaee62f38d72,17.0000,24.0000,medium,Нормализация семейных отношений,"Умеренная поддержка
Частичные проблемы коммуникации
Стабильная семейная структура",False
a280c5eb-63fa-4c42-9386-735d10254bca,4f1f7d8e-e393-4a82-b1df-aaee62f38d72,25.0000,40.0000,high,Здоровая семейная система,"Высокая эмоциональная поддержка
Эффективная коммуникация
Стабильные семейные связи",False
00b08938-2fba-493e-8cad-5c561acedd21,d33c0ebd-2005-4ebe-ae41-06cd93eef899,8.0000,16.0000,low,Деструктивный тип реагирования,"Избегание конфликтов
Неумение идти на компромисс
Агрессивная реакция",False
f56bb5fa-64c5-4421-9b7c-d05bd402ab18,d33c0ebd-2005-4ebe-ae41-06cd93eef899,17.0000,24.0000,medium,Смешанный тип реагирования,"Периодические трудности в разрешении конфликтов
Частичная готовность к компромиссам
Умеренная конфликтность",False
3091d546-bcc0-4021-86a3-3a55d5c3f75b,d33c0ebd-2005-4ebe-ae41-06cd93eef899,25.0000,40.0000,high,Конструктивный тип реагирования,"Умение находить решения
Готовность к компромиссам
Зрелая позиция в конфликтах",False
46f3681d-1e6b-48ce-8f4c-6c91ab04e92c,fb362370-73e2-4c29-a3b5-9a010ed1d40d,8.0000,16.0000,low,Дезадаптация,"Трудности в социализации
Проблемы с новыми контактами
Страх изменений",False
d4833a59-c120-4126-9189-7ea43892246d,fb362370-73e2-4c29-a3b5-9a010ed1d40d,17.0000,24.0000,medium,Частичная адаптация,"Умеренная социальная активность
Периодические трудности
Нормальная адаптивность",False
d3690d59-4eb6-4e49-85b6-18b3a9488c6e,fb362370-73e2-4c29-a3b5-9a010ed1d40d,25.0000,40.0000,high,Высокая адаптация,"Успешная социализация
Хорошие коммуникативные навыки
Гибкость в изменениях",False
ddd67de9-64c6-4e06-afa5-070bc5bdb42b,c3be280d-5c97-48b0-8baf-a43e9d28664d,8.0000,16.0000,low,Здоровые стандарты,"Реалистичные ожидания
Адекватная самооценка
Гибкие критерии успеха",False
75dc3798-fef5-4b06-8ca7-312b0907dc00,c3be280d-5c97-48b0-8baf-a43e9d28664d,17.0000,24.0000,medium,Умеренный перфекционизм,"Повышенные требования
Критичность к себе
Стремление к совершенству",False
daa4db25-a549-48dd-b7f3-ec9faff43fb5,c3be280d-5c97-48b0-8baf-a43e9d28664d,25.0000,40.0000,high,Патологический перфекционизм,"Чрезмерные требования
Самообвинение
Страх неудачи",False
7cf2faf0-a573-417a-bdb8-7d3522e071d8,2860b0b7-bd58-4d08-a512-0ae704385d6c,8.0000,16.0000,low,Оптимистичная позиция,"Вера в будущее
Позитивный настрой
Уверенность в силах",False
b5db3fa4-765f-49c5-af67-8e65c758cdf3,2860b0b7-bd58-4d08-a512-0ae704385d6c,17.0000,24.0000,medium,Умеренная безнадежность,"Периодический пессимизм
Сомнения в успехе
Снижение активности",False
f10f4bc3-79f0-4d78-8a73-463e03222994,2860b0b7-bd58-4d08-a512-0ae704385d6c,25.0000,40.0000,high,Глубокая безнадежность,"Устойчивый пессимизм
Отсутствие веры в успех
Пассивность",False
82f2c716-6109-4dd7-ae99-a678063ee484,2f969546-3e2e-4c8a-b62e-d414d7dc53bd,8.0000,16.0000,low,Низкая мотивация,"Отсутствие целей
Пассивность
Отсутствие стремлений",False
633410c6-bfdc-4f01-acd0-c8daebf1ba28,2f969546-3e2e-4c8a-b62e-d414d7dc53bd,17.0000,24.0000,medium,Средняя мотивация,"Наличие целей
Периодическая активность
Умеренные стремления",False
b8d3284a-03a6-4996-a583-c36806ac8fe4,2f969546-3e2e-4c8a-b62e-d414d7dc53bd,25.0000,40.0000,high,Высокая мотивация,"Четкие цели
Высокая активность
Стремление к успеху",False
0eed82ba-bd63-442f-a76b-d8be89bf0561,0c5b74c5-5318-44f2-9431-425714dd0755,8.0000,16.0000,low,Нормальная тревожность,"Адекватная реакция
Контроль над состоянием
Функциональная тревога",False
61856430-c51b-4c1c-8851-75595c9d61eb,0c5b74c5-5318-44f2-9431-425714dd0755,17.0000,24.0000,medium,Умеренная тревожность,"Повышенный уровень
Периодические беспокойства
Частичный контроль",False
26e96e52-34f7-49e4-9b76-be1182d46033,0c5b74c5-5318-44f2-9431-425714dd0755,25.0000,40.0000,high,Высокая тревожность,"Постоянный уровень
Нарушение функционирования
Тревожные расстройства",False
eeb65364-21c5-47e2-aa8c-d4ad4ff275f4,fbf1ff16-f439-45b3-9e75-b5e3920443e0,8.0000,16.0000,low,Отсутствие депрессивных признаков,"Нормальное настроение
Адекватная самооценка
Энергичность",False
5850a96d-fc60-4368-bcf7-70a8e40b91ff,fbf1ff16-f439-45b3-9e75-b5e3920443e0,17.0000,24.0000,medium,Легкая депрессия,"Снижение настроения
Умеренная утомляемость
Частичная потеря интереса",False
